STIS,SampleEventFK,StationCode,DFS,Month,Area
7359,Mait46_July,Mait46,Midshore,July,SMB
7360,Mait46_July,Mait46,Midshore,July,SMB
7362,Mait73_July,Mait73,Offshore,July,SMB
7363,Mait73_July,Mait73,Offshore,July,SMB
7364,Mait73_July,Mait73,Offshore,July,SMB
7366,Harb18_July,Harb18,Midshore,July,SMB
7368,Harb18_July,Harb18,Midshore,July,SMB
7369,Harb18_July,Harb18,Midshore,July,SMB
7370,Harb46_July,Harb46,Midshore,July,SMB
7371,Harb46_July,Harb46,Midshore,July,SMB
7372,Harb46_July,Harb46,Midshore,July,SMB
7374,Harb68_July,Harb68,Offshore,July,SMB
7375,Harb68_July,Harb68,Offshore,July,SMB
7376,Harb68_July,Harb68,Offshore,July,SMB
7377,Harb68_July,Harb68,Offshore,July,SMB
7378,Ocqu18_July,Ocqu18,Midshore,July,NMB
7379,Ocqu18_July,Ocqu18,Midshore,July,NMB
7380,Ocqu18_July,Ocqu18,Midshore,July,NMB
7382,Ocqu46_July,Ocqu46,Midshore,July,NMB
7384,Ocqu46_July,Ocqu46,Midshore,July,NMB
7385,Ocqu46_July,Ocqu46,Midshore,July,NMB
7386,Ocqu82_July,Ocqu82,Offshore,July,NMB
7388,Ocqu82_July,Ocqu82,Offshore,July,NMB
7389,Ocqu82_July,Ocqu82,Offshore,July,NMB
7600,Thes05_August,Thes05,Nearshore,Aug,NC
7601,Thes18_August,Thes18,Midshore,Aug,NC
7603,Thes18_August,Thes18,Midshore,Aug,NC
7604,Thes18_August,Thes18,Midshore,Aug,NC
7605,Thes46_August,Thes46,Midshore,Aug,NC
7607,Thes46_August,Thes46,Midshore,Aug,NC
7608,Thes46_August,Thes46,Midshore,Aug,NC
7609,Span05_August,Span05,Nearshore,Aug,NC
7610,Span18_August,Span18,Midshore,Aug,NC
7611,Span18_August,Span18,Midshore,Aug,NC
7612,Span18_August,Span18,Midshore,Aug,NC
7613,Span18_August,Span18,Midshore,Aug,NC
7614,Span46_August,Span46,Midshore,Aug,NC
7616,Span46_August,Span46,Midshore,Aug,NC
7617,Span46_August,Span46,Midshore,Aug,NC
7618,Fren05_August,Fren05,Nearshore,Aug,GB
7619,Fren18_August,Fren18,Midshore,Aug,GB
