STIS,NH4,NOx,SRP,TN,TP,K,Na,Ca,Mg,Cl,SO4,chla,DOC
7158,13.71,200.2,1.59,377,1.32,0.84,4.59,21.02,6.08,7.2,13.02,0.4288,2.28
7159,14.31,235.6,1.77,366,5.89,0.85,4.56,21.23,6.08,7.14,12.93,0.3762,2.4
7160,11.67,246.6,1.78,379,2.19,0.86,4.35,22.67,6.47,6.89,13.71,0.563684211,2.11
7162,25.47,199.2,1.8,369,5.37,0.87,4.6,22.58,6.71,7.02,14.04,0.3174,2.53
7163,9.07,245.1,1.25,381,1.87,0.85,4.3,22.21,6.45,7.2,13.77,0.683375,2.44
7164,25.13,242.1,1.28,301,2.49,0.88,4.72,23.56,6.73,7.41,14.26,0.6277,2.11
7166,13.22,263.4,1.94,374,2.57,0.87,4.37,23.4,6.82,7,14.26,0.3926,1.77
7167,11.06,251.6,3.76,381,2.4,0.87,4.36,23.6,6.61,7.02,14.24,0.6607,3.16
7168,6.29,247.6,2.62,360,0.61,0.88,4.34,24,6.79,7.03,14.07,0.6228,1.87
7169,6.55,246.8,2.13,349,0.61,0.89,4.38,23.42,6.98,7.03,14.16,0.7172,1.9
7170,5.76,242.5,2.09,354,0.61,0.88,4.39,24.59,7,7.04,14.13,0.7055,1.94
7172,15.47,263.5,2.12,362,2.87,0.86,4.4,23.44,6.81,7.04,14.02,0.6571,2.35
7174,11,263.5,2.28,245,1.67,0.87,4.42,23.69,6.85,7.13,14.2,0.5492,1.75
7175,7.85,264.5,2.43,297,2.46,0.87,4.44,24.29,6.97,7.09,14.2,0.8441,1.81
7176,6.98,265.6,1.97,379,1.69,0.89,4.48,25,7.06,7.26,14.12,0.521,1.89
7178,8.59,268.8,1.99,378,0.61,0.89,4.48,24.64,7,7.18,14.26,0.4912,1.79
7179,7.77,266.4,2.9,374,1.61,0.9,4.42,24.91,7.06,7.2,14.24,1.232,1.79
7180,8.22,316.2,1.97,422,2.39,0.94,4.44,27.04,7.84,7.1,15.83,0.4254,2
7181,5.22,315.1,2.03,422,2.17,0.93,4.27,25.61,7.59,7.16,15.99,0.4217,1.87
7182,17.29,319.3,2.07,413,0.61,1,4.51,24.06,7.83,7.19,15.8,0.4041,1.82
7184,4.75,310.7,1.88,407,1.39,1.03,4.53,25.52,7.86,7.06,15.71,0.4481,1.66
7185,5.46,294.5,1.82,402,2.85,1.05,4.57,25.98,7.92,7.05,15.75,0.6281,1.62
7186,11.9,277,4.04,366,2.55,1.01,4.44,24.94,7.83,7.06,15.79,0.4582,1.57
7188,14.2,299,4.53,405,1.26,1.03,4.52,24.97,7.71,7.05,15.71,0.3809,1.46
7189,12.1,293,3.64,399,1.28,1.05,4.55,25.4,7.84,7.02,15.68,0.4699,1.46
7190,17.3,299,4.43,427,0.61,1.06,4.57,25.68,7.74,7.02,15.72,0.2955,1.4
7192,20.4,378,9.47,489,2.47,1.1,4.88,26.84,8.34,7.47,16.23,0.7912,1.8
7193,9.24,344,4.77,516,0.61,1.09,4.74,27.02,8.16,7.48,16.17,0.678666667,1.65
7194,18.5,356,5.24,476,11.3,1,4.44,27.84,7.91,7.46,16.16,0.597066667,1.7
7196,12.6,358,5.42,461,13.1,1.01,4.43,27.41,7.83,7.41,16.19,0.545,1.59
7198,16.3,299,3.99,423,2.51,1,4.44,26.33,7.75,7.32,16.1,0.8192,1.67
7199,13.6,297,4.51,423,2.93,0.98,4.42,26.25,7.58,7.29,15.93,0.8498,1.52
7200,9.97,359,3.95,473,2.35,1.03,4.4,25.41,7.68,7.35,16.16,0.741,1.58
7202,24,290,4.72,401,1.37,1,4.4,25.69,7.7,7.19,15.96,0.422,1.54
7203,6.97,290,4.48,394,3.99,1.02,4.42,25.99,7.59,7.21,16.04,1.1349,1.53
7204,15.7,310,3.63,437,7.28,1.05,4.64,27.17,7.91,7.84,16.23,0.3517,1.65
7205,14.3,303,4.46,429,3.21,1.04,4.6,26.32,7.64,7.5,16.08,0.5794,1.57
7206,14.5,282,4.33,414,5.04,1.02,4.49,25.56,7.57,7.45,16,0.7731,1.53
7208,19,243,4.71,493,4.24,1,4.43,27.65,7.8,7.5,16.06,0.4607,1.57
7210,18.4,293,4.68,398,7.76,0.96,4.28,26.34,7.69,7.04,15.69,0.3927,1.53
7211,19.2,289,4.89,408,2.82,0.97,4.18,26.26,7.67,7.01,15.66,0.698,1.53
7212,30.6,274,4.74,427,0.61,0.97,4.3,26.77,7.66,7.07,15.78,0.293,1.66
7214,14.8,262,4.53,405,0.61,0.97,4.25,26.79,7.73,7.11,15.82,0.6933,1.58
7215,14.5,296,5.3,393,0.61,0.97,4.32,26.96,7.73,7.08,15.78,0.7176,1.55
7290,20,243,4.9,368,0.61,0.79,3.69,21.56,5.82,,,1.0896,3.33
7291,17.6,245,5.1,390,1.6,0.78,3.46,20.99,5.44,,,1.0898,4.88
7292,15.7,242,5.84,354,11.2,0.72,3.12,18.84,5.05,,,1.0103,4.3
7294,10.5,242,3.5,366,15,0.67,2.7,17.5,4.61,,,1.308,2.11
7295,19,264,5.1,389,0.61,0.87,3.7,21.9,5.94,,,1.2885,2.23
7296,16.4,273,4.51,378,10.6,0.87,3.73,23.15,6.34,,,0.4482,2.38
7298,12.3,172,4.86,330,4.36,0.83,4.18,18.89,4.99,,,1.8035,2.98
7299,13.2,209,5.33,347,25.1,0.85,3.84,21.4,5.7,,,1.267,2.31
7300,22.9,200,6.61,334,0.61,0.85,3.89,21.75,5.85,,,0.9402,4.19
7302,9.74,210,2.09,371,7.16,0.83,3.75,21.08,5.74,,,1.0351,2.27
7303,21.9,233,6.4,352,2.78,0.89,4.05,22.11,6.11,,,0.9246,2.31
7304,17.6,263,4.72,382,7.38,0.89,3.85,22.75,6.35,,,0.3888,2.02
