SiteID, Epischuralacustris, Eurytemoracarolleea, Leptodiaptomusashlandi, Leptodiaptomusminutus, Leptodiaptomussicilis, Limnocalanusmacrurus, Senecellacalanoides, Skistodiaptomusoregonensis, Diacyclopsnanus, Diacyclopsthomasi, Mesocyclopsedax, Microcyclopsvaricans, Tropocyclopsprasinusmexicanus, Alonaspp, Alonella, Bosminalongirostris, Bosminaspp, Bythotrepheslongimanus, Cercopagispengoi, Ceriodaphniaspp, Chydorussp, Daphniagaleatamendotae, Daphnialongiremis, Daphniaparvula, Daphniaretrocurva, Daphniaspp, Diaphanosomaspp, Eubosminacoregoni, Eurycercuslamellatus, Holopediumgibberum, Leptodorakindti, Polyphemuspediculus, Harpacticoidcopepodites, Calanoidcopepodites, Epischuracopepodites, Limnocalanuscopepodites, Senecellacopepodites, Cyclopscopepodites, Mysisdiluviana
 Ztx153-22186 ,0,0,2808,7632,1440,72,0,144,36,3096,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124,0,252,0,756,0
 Ztx153-22646 ,321,0,4815,7169,749,749,0,107,0,1284,428,0,0,0,0,321,0,30,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,29960,963,1177,0,11984,0
 Ztx153-22138 ,37,0,767,3869,1314,0,0,0,0,4125,0,0,0,37,0,73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5110,0,219,0,329,0
 Ztx153-22594 ,554,0,21,677,0,0,0,62,0,41,800,0,0,0,0,4982,0,3,0,0,0,0,0,0,0,0,0,0,0,533,0,0,0,2030,1476,0,0,1353,0
 Ztx153-22142 ,0,0,390,3042,1209,0,39,39,0,3471,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6708,234,312,0,195,0
 Ztx153-22598 ,540,0,630,1890,90,450,0,0,0,1170,1710,0,0,0,0,12870,0,20,0,0,0,0,0,0,0,0,0,0,0,1080,0,0,0,8550,1620,0,360,8910,0
 Ztx153-22134 ,0,0,109,239,0,0,0,0,0,13,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274,21,0,14,48,0
 Ztx153-22146 ,0,0,427,2989,1098,0,0,0,0,2105,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6344,92,458,458,427,0
 Ztx153-22602 ,97,0,679,2910,97,873,0,0,0,485,485,0,0,0,0,1843,0,36,0,0,0,0,0,0,0,0,0,0,0,582,0,0,0,23668,485,194,485,12028,0
 Ztx153-22122 ,0,0,47,605,77,0,0,8,0,271,8,0,8,8,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1325,85,109,16,566,0
