STIS,Depth,NH4,NOx,SRP,TN,TP,K,Na,Ca,Mg,Cl,SO4,chla,DOC,TSS,VSS
7126,Bottom,8.27,199.2,3.12,382,9.72,0.85,3.91,20,5.65,5.66,13.65,1.254,2.42,0.467,0.067
7128,Epi,4.84,250.3,2.51,396,3.09,0.95,3.88,20.54,6.13,5.72,13.57,1.1582,2.47,0.707,0.38
7130,Bottom,10.95,271.7,3.4,381,2.32,0.91,3.94,21.01,6.25,5.72,13.54,0.5256,2.34,0.327,0.04
7131,Mid,5.34,254.9,2.9,398,3.31,0.85,4.02,20.45,6.05,5.78,13.78,2.0191,2.37,0.407,0.313
7132,Epi,14.64,271.7,3.15,396,0.61,0.99,4.31,25.43,7.45,6.69,14.3,0.5469,2.31,0.533,0.22
7133,Mid,14.86,258,1.55,432,2.04,1.04,4.56,25.38,7.77,7.53,15.32,0.8773,2.62,0.593,0.36
7134,Bottom,10.43,264.3,1.38,404,1.78,0.92,4.3,25.1,7.17,6.65,14.28,0.9599,2.57,0.347,0.313
7136,Epi,6.11,284.3,1.21,415,0.61,0.88,4.1,24.53,7.12,6.23,13.91,0.7358,1.95,0.02,0.08
7137,Mid,8.16,291.7,1.12,440,4.42,0.92,4.12,24.79,7.02,6.41,14.2,1.2662,2.15,0.247,0.153
7138,Bottom,20.98,314.6,4.17,459,7.74,0.95,4.24,25.34,7.52,6.64,14.92,0.8981,2.05,0.553,0.193
7140,Epi,7.2,293.2,1.42,467,7.31,0.92,4.06,24.64,7.12,6.15,13.84,0.7444,1.76,0.347,0.2
7142,Bottom,7.82,312.3,2.89,415,0.61,0.95,4.35,25.79,7.57,6.8,15.4,0.3339,1.63,0.113,0.027
7143,Mid,19.38,314.4,3.25,417,7.91,0.98,4.39,24.54,7.78,6.79,15.4,0.5519,1.66,0.107,0.087
7144,Epi,8.9,226,1.43,366,1.6,0.86,4.17,21.85,6.27,6.35,13.2,0.8221,2.33,0.38,0.275
7145,Mid,10.73,230.3,3.1,361,0.61,0.88,4.11,21.69,6.38,6.04,12.62,1.0536,2.53,0.435,0.205
7146,Bottom ,7.47,226.5,1.43,377,2.65,0.86,4.15,22.22,6.43,6.37,13.18,0.8234,3.43,0.215,0.11
7148,Epi,5.42,235.9,1.19,352,3.11,0.86,4.19,22.45,6.32,6.61,13.91,0.4975,2.06,0.31,0.215
7149,Mid,6.3,244.2,1.36,362,3.85,0.87,4.2,22.97,6.63,6.73,14.21,0.568,1.85,0.295,0.13
7150,Bottom ,9.6,248.7,0.553,359,0.61,0.86,4.25,23.78,6.82,6.74,14.33,0.4262,1.83,0.215,0.02
7152,Epi,10.25,254.6,1.49,364,0.61,0.87,4.27,23.87,6.84,6.74,14.23,0.3005,1.77,0.15,0.15
7154,Bottom ,9.53,256.6,0.553,371,1.89,0.87,4.26,23.69,6.77,6.76,14.32,0.6059,1.77,0.167,0.078
7155,Mid,6.6,157.4,1.98,384,2.57,0.88,4.24,22.98,6.62,6.7,14.33,0.9473,3.06,0.155,0.055
7156,Epi,16.15,212.3,1.91,372,3.84,0.88,4.7,20.59,5.92,7.44,12.9,0.6519,2.4,0.345,0.22
7158,Bottom ,13.71,200.2,1.59,377,1.32,0.84,4.59,21.02,6.08,7.2,13.02,0.4288,2.28,0.157,0.092
7159,Mid,14.31,235.6,1.77,366,5.89,0.85,4.56,21.23,6.08,7.14,12.93,0.3762,2.4,0.17,0.02
7160,Epi,11.67,246.6,1.78,379,2.19,0.86,4.35,22.67,6.47,6.89,13.71,0.563684211,2.11,0.22,0.145
7162,Bottom ,25.47,199.2,1.8,369,5.37,0.87,4.6,22.58,6.71,7.02,14.04,0.3174,2.53,0.187,0.1
7163,Mid,9.07,245.1,1.25,381,1.87,0.85,4.3,22.21,6.45,7.2,13.77,0.683375,2.44,0.175,0.175
7164,Epi,25.13,242.1,1.28,301,2.49,0.88,4.72,23.56,6.73,7.41,14.26,0.6277,2.11,0.258,0.032
7166,Bottom ,13.22,263.4,1.94,374,2.57,0.87,4.37,23.4,6.82,7,14.26,0.3926,1.77,0.03,0.01
