STIS,Month,MonthPeriod,Ship,Lake,Site,Area,DFS,Research Project,UnifiedDate,Collection Date,TimeEST, SiteDepthm,Depth,Separatedepthsm,DCL,StratifiedUnstratified,NH4ugNL ,NOxugNL,SRPugPL,TNugNL,TPugPL,KmgL,NamgL,CamgL,MgmgL,ClmgL,SO4mgL,DOCmgCL,SimgSiO2L,chlaugL
22100,June,L June,LEII,Lake Huron,Spanish River 46,NC,Midshore,CSMI,6/18/2022,6/18/2022,10:00,46.5,Bottom,45,No,Stratified,15.2,266.85,4.09,382,7.91,0.8,3.84,18.97,5.84,6.21,13.43,2.2,5.59,0.48
22098A,Aug,Aug,LEII,Lake Huron,Spanish River 46,NC,Midshore,CSMI,8/13/2022,8/13/2022,13:05,46.2,Epi,5,No,Stratified,12.8,202,2.93,340,6.27,0.84,3.68,18.37,5.46,5.79,11.57,2.71,4.62,2.12
22099A,Aug,Aug,LEII,Lake Huron,Spanish River 46,NC,Midshore,CSMI,8/13/2022,8/13/2022,13:05,46.2,Mid,19,No,Stratified,29,287,4.23,408,5.6,0.86,3.89,20.16,5.92,6.16,12.29,2.39,5.63,0.71
22100A,Aug,Aug,LEII,Lake Huron,Spanish River 46,NC,Midshore,CSMI,8/13/2022,8/13/2022,13:05,46.2,Bottom,44,No,Stratified,35.7,348,3.62,420,4.65,0.83,4.1,22.43,6.74,6.86,13.38,2.04,5.65,0.44
22090,June,L June,LEII,Lake Huron,Spanish River 5,NC,Nearshore,CSMI,6/18/2022,6/18/2022,7:43,30,Epi,5,No,Unstratified,13.7,196.79,4.16,374,7.31,0.7,4.04,14.94,4.37,5.98,12.74,3.88,6.98,1.58
22091,June,L June,LEII,Lake Huron,Spanish River 5,NC,Nearshore,CSMI,6/18/2022,6/18/2022,7:43,30,Mid,15,No,Unstratified,27.3,226.98,3.82,415,7.94,0.69,3.98,16.23,4.85,6.12,13.03,3.22,6.57,1.06
22093,June,L June,LEII,Lake Huron,Spanish River 5,NC,Nearshore,CSMI,6/18/2022,6/18/2022,7:43,30,Bottom,26,No,Unstratified,21.7,253.06,4.39,383,6.12,0.72,4.17,16.49,4.97,6.5,12.74,3.18,6.42,1.04
22090A,Aug,Aug,LEII,Lake Huron,Spanish River 5,NC,Nearshore,CSMI,8/13/2022,8/13/2022,15:00,26,Epi,5,No,Stratified,12.4,196,3.87,329,6.76,0.72,3.85,17.95,5.32,6.12,11.85,2.77,5.11,2.44
22294,June,E June,USGS,Lake Huron,Thessallon River 18,NC,Midshore,CSMI -USGS biweekly sampling,6/8/2022,6/8/2022,,,Epi,5,,,,,,409,5.74,,,,,,,,,1.46
22295,June,E June,USGS,Lake Huron,Thessallon River 18,NC,Midshore,CSMI -USGS biweekly sampling,6/8/2022,6/8/2022,,,Mid,12,,,,,,442,3.8,,,,,,,,,1.18
22296,June,E June,USGS,Lake Huron,Thessallon River 18,NC,Midshore,CSMI -USGS biweekly sampling,6/8/2022,6/8/2022,,,Bottom,16,,,,,,424,5.84,,,,,,,,,0.75
22382,July,L July,USGS,Lake Huron,Thessallon River 18,NC,Midshore,CSMI -USGS biweekly sampling,7/20/2022,7/20/2022,,,Epi,5,,,,,,445,2.86,,,,,,,,,0.83
22383,July,L July,USGS,Lake Huron,Thessallon River 18,NC,Midshore,CSMI -USGS biweekly sampling,7/20/2022,7/20/2022,,,Mid,12,,,,,,405,3.92,,,,,,,,,1.27
22384,July,L July,USGS,Lake Huron,Thessallon River 18,NC,Midshore,CSMI -USGS biweekly sampling,7/20/2022,7/20/2022,,,Bottom,16,,,,,,432,4.77,,,,,,,,,1.36
22298,June,E June,USGS,Lake Huron,Thessallon River 46,NC,Midshore,CSMI -USGS biweekly sampling,6/7/2022,6/7/2022,,,Epi,5,,,,,,428,7.27,,,,,,,,,1.93
22299,June,E June,USGS,Lake Huron,Thessallon River 46,NC,Midshore,CSMI -USGS biweekly sampling,6/7/2022,6/7/2022,,,Mid,17,,,,,,432,4.24,,,,,,,,,1.32
22300,June,E June,USGS,Lake Huron,Thessallon River 46,NC,Midshore,CSMI -USGS biweekly sampling,6/7/2022,6/7/2022,,,Bottom,44,,,,,,406,6.27,,,,,,,,,0.59
22386,July,L July,USGS,Lake Huron,Thessallon River 46,NC,Midshore,CSMI -USGS biweekly sampling,7/20/2022,7/20/2022,,,Epi,5,,,,,,427,3.44,,,,,,,,,1.12
22388,July,L July,USGS,Lake Huron,Thessallon River 46,NC,Midshore,CSMI -USGS biweekly sampling,7/20/2022,7/20/2022,,,Mid,44,,,,,,440,2.01,,,,,,,,,0.28
22389,July,L July,USGS,Lake Huron,Thessallon River 46,NC,Midshore,CSMI -USGS biweekly sampling,7/20/2022,7/20/2022,,,Bottom,24,,,,,,421,3.31,,,,,,,,,1.94
22302,June,E June,USGS,Lake Huron,Thessallon River 46 Off,NC,Offshore,CSMI -USGS biweekly sampling,6/7/2022,6/7/2022,,,Epi,5,,,,,,424,14.9,,,,,,,,,1.21
22304,June,E June,USGS,Lake Huron,Thessallon River 46 Off,NC,Offshore,CSMI -USGS biweekly sampling,6/7/2022,6/7/2022,,,Bottom,44,,,,,,418,10.5,,,,,,,,,0.39
22305,June,E June,USGS,Lake Huron,Thessallon River 46 Off,NC,Offshore,CSMI -USGS biweekly sampling,6/7/2022,6/7/2022,,,Mid,10,,,,,,417,5.89,,,,,,,,,1.33
22230,June,L June,LEII,Lake Huron,Thessallon River 46 Off,NC,Offshore,CSMI,6/18/2022,6/18/2022,13:50,48,Epi,5,No,Stratified,10.9,268,2.65,454,6.41,0.73,3.51,18.63,5.59,5.88,12.54,2.31,5.37,1.59
22231,June,L June,LEII,Lake Huron,Thessallon River 46 Off,NC,Offshore,CSMI,6/18/2022,6/18/2022,13:50,48,Mid,25,No,Stratified,10.9,270,2.21,393,6.25,0.74,3.5,18.67,5.59,5.69,12.12,2.57,5.26,1.42
22232,June,L June,LEII,Lake Huron,Thessallon River 46 Off,NC,Offshore,CSMI,6/18/2022,6/18/2022,13:50,48,Bottom,46,No,Stratified,10.9,287,1.89,397,5.72,0.57,3.96,20.6,6.33,5.69,12.12,1.98,5.29,0.37
22272,July,E July,LEII,Lake Huron,Thessallon River 46 Off,NC,Offshore,CSMI,7/9/2022,7/9/2022,9:10,49,Epi,5,No,Stratified,,,,407,3.54,,,,,,,,,1.07
22273,July,E July,LEII,Lake Huron,Thessallon River 46 Off,NC,Offshore,CSMI,7/9/2022,7/9/2022,9:10,49,Mid,19.6,No,Stratified,,,,394,6.12,,,,,,,,,0.87
22274,July,E July,LEII,Lake Huron,Thessallon River 46 Off,NC,Offshore,CSMI,7/9/2022,7/9/2022,9:10,49,Bottom,45,No,Stratified,,,,414,4.79,,,,,,,,,0.53
22390,July,L July,USGS,Lake Huron,Thessallon River 46 Off,NC,Offshore,CSMI -USGS biweekly sampling,7/20/2022,7/20/2022,,,Epi,5,,,,,,409,1.61,,,,,,,,,0.87
22391,July,L July,USGS,Lake Huron,Thessallon River 46 Off,NC,Offshore,CSMI -USGS biweekly sampling,7/20/2022,7/20/2022,,,Mid,20,,,,,,426,2.28,,,,,,,,,1.41
22392,July,L July,USGS,Lake Huron,Thessallon River 46 Off,NC,Offshore,CSMI -USGS biweekly sampling,7/20/2022,7/20/2022,,,Bottom,44,,,,,,443,3.59,,,,,,,,,0.34
22222,June,L June,LEII,Lake Huron,Thessallon River 18,NC,Midshore,CSMI,6/18/2022,6/18/2022,16:51,20,Epi,5,No,Unstratified,10.5,270,2.19,413,6.51,0.77,3.49,18.54,5.62,5.46,11.35,2.4,5.33,1.37
22223,June,L June,LEII,Lake Huron,Thessallon River 18,NC,Midshore,CSMI,6/18/2022,6/18/2022,16:51,20,Mid,11,No,Unstratified,11.6,272,2.09,456,6.4,0.78,3.53,18.96,5.73,5.59,11.72,2.21,5.41,0.98
22224,June,L June,LEII,Lake Huron,Thessallon River 18,NC,Midshore,CSMI,6/18/2022,6/18/2022,16:51,20,Bottom,18,No,Unstratified,10.3,273,1.85,381,6.29,0.75,3.46,19.1,5.79,5.6,11.72,2.08,5.26,0.96
22218,June,L June,LEII,Lake Huron,Thessallon River 18,NC,Midshore,CSMI,6/19/2022,6/19/2022,7:35,5.6,Epi,5,No,Unstratified,10.8,267,2.12,403,7.72,0.74,3.38,18.5,5.53,5.41,11.25,2.2,5.14,0.84
22264,July,E July,LEII,Lake Huron,Thessallon River 18,NC,Midshore,CSMI,7/9/2022,7/9/2022,12:45,19,Epi,5,No,Unstratified,,,,360,4.06,,,,,,,,,1.06
22265,July,E July,LEII,Lake Huron,Thessallon River 18,NC,Midshore,CSMI,7/9/2022,7/9/2022,12:45,19,Mid,8,No,Unstratified,,,,364,5.45,,,,,,,,,1.26
22266,July,E July,LEII,Lake Huron,Thessallon River 18,NC,Midshore,CSMI,7/9/2022,7/9/2022,12:45,19,Bottom,16.7,No,Unstratified,,,,389,5.28,,,,,,,,,1.06
22222A,Aug,Aug,LEII,Lake Huron,Thessallon River 18,NC,Midshore,CSMI,8/14/2022,8/14/2022,10:15,18.9,Epi,5,No,Unstratified,15.4,268,2.84,383,6.67,0.77,3.4,19.19,5.49,5.24,10.89,2.67,5.07,1.09
22224A,Aug,Aug,LEII,Lake Huron,Thessallon River 18,NC,Midshore,CSMI,8/14/2022,8/14/2022,10:15,18.9,Bottom,16.9,No,Unstratified,14.3,277,2.63,405,8.01,0.84,3.66,20.09,5.9,5.4,11.4,2.07,5.59,0.74
22226,June,L June,LEII,Lake Huron,Thessallon River 46,NC,Midshore,CSMI,6/18/2022,6/18/2022,15:30,45,Epi,5,No,Unstratified,12.9,263,2.34,396,6.1,0.74,3.27,17.37,5.07,5,10.43,2.38,5.16,1.38
22227,June,L June,LEII,Lake Huron,Thessallon River 46,NC,Midshore,CSMI,6/18/2022,6/18/2022,15:30,45,Mid,25,No,Unstratified,12.2,272,1.91,405,6.05,0.73,3.39,18.11,5.33,5.28,10.93,2.19,5.26,0.87
22228,June,L June,LEII,Lake Huron,Thessallon River 46,NC,Midshore,CSMI,6/18/2022,6/18/2022,15:30,45,Bottom,45,No,Unstratified,14.5,280,2.13,407,6.31,0.75,3.55,19.33,5.82,5.45,11.45,2.16,5.46,0.6
22268,July,E July,LEII,Lake Huron,Thessallon River 46,NC,Midshore,CSMI,7/9/2022,7/9/2022,10:58,46,Epi,5,No,Stratified,,,,519,7.36,,,,,,,,,1.35
22269,July,E July,LEII,Lake Huron,Thessallon River 46,NC,Midshore,CSMI,7/9/2022,7/9/2022,10:58,46,Mid,18,No,Stratified,,,,405,3.92,,,,,,,,,1.17
22270,July,E July,LEII,Lake Huron,Thessallon River 46,NC,Midshore,CSMI,7/9/2022,7/9/2022,10:58,46,Bottom,41,No,Stratified,,,,452,4.36,,,,,,,,,0.38
22226A,Aug,Aug,LEII,Lake Huron,Thessallon River 46,NC,Midshore,CSMI,8/14/2022,8/14/2022,9:03,43.8,Epi,5,No,Stratified,14.3,251,3.45,364,5.46,0.76,3.41,18.64,5.4,4.93,10.62,2.23,4.79,1.24
22227A,Aug,Aug,LEII,Lake Huron,Thessallon River 46,NC,Midshore,CSMI,8/14/2022,8/14/2022,9:03,43.8,Mid,17,No,Stratified,18.3,311,3.97,389,7.75,0.9,4.04,22.35,6.74,6.33,13.14,1.89,5.76,0.52
22228A,Aug,Aug,LEII,Lake Huron,Thessallon River 46,NC,Midshore,CSMI,8/14/2022,8/14/2022,9:03,43.8,Bottom,41,No,Stratified,18.4,288,2.71,383,9.45,0.87,3.79,21.14,6.24,5.85,12.26,2.14,5.22,0.74
22230A,Aug,Aug,LEII,Lake Huron,Thessallon River 46 Offshore,NC,Offshore,CSMI,8/14/2022,8/14/2022,8:10,47.6,Epi,5,No,Stratified,24.1,252,3.32,376,10.9,0.79,3.4,18.77,5.38,5.06,10.73,2.39,4.54,1.08
22231A,Aug,Aug,LEII,Lake Huron,Thessallon River 46 Offshore,NC,Offshore,CSMI,8/14/2022,8/14/2022,8:10,47.6,Mid,17,No,Stratified,35.9,264,4.02,383,10.6,0.81,3.49,19.13,5.57,5.69,11.37,2.35,4.75,1.24
22232A,Aug,Aug,LEII,Lake Huron,Thessallon River 46 Offshore,NC,Offshore,CSMI,8/14/2022,8/14/2022,8:10,47.6,Bottom,45,No,Stratified,39,310,3.38,395,9.26,1.09,4.16,22.54,6.84,6.69,13.75,2.08,5.26,0.5
22218A,Aug,Aug,LEII,Lake Huron,Thessallon River 5,NC,Nearshore,CSMI,8/14/2022,8/14/2022,10:51,8.5,Epi,5,No,Unstratified,8.62,267,2.12,374,8.45,0.68,2.82,17.17,4.63,4.01,8.64,2.21,4.84,1.32
