STIS,Month,MonthPeriod,Ship,Lake,Site,Area,DFS,Research Project,UnifiedDate,Collection Date,TimeEST, SiteDepthm,Depth,Separatedepthsm,DCL,StratifiedUnstratified,NH4ugNL ,NOxugNL,SRPugPL,TNugNL,TPugPL,KmgL,NamgL,CamgL,MgmgL,ClmgL,SO4mgL,DOCmgCL,SimgSiO2L,chlaugL
22216A,Aug,Aug,LEII,Lake Huron,Boot Island 73,NMB,Offshore,CSMI,8/14/2022,8/14/2022,17:00,75.9,Bottom,73,Yes,Stratified,19.5,329,2.43,411,7.75,0.9,4.18,23.1,7.24,7.07,14.54,1.81,5.8,0.29
22217A,Aug,Aug,LEII,Lake Huron,Boot Island 73,NMB,Offshore,CSMI,8/14/2022,8/14/2022,17:00,75.9,Mid,41,Yes,Stratified,14.2,322,3.29,406,7.96,0.94,4.13,22.58,7.07,6.89,14.11,1.87,5.8,1.96
22106,June,L June,LEII,Lake Huron,French River 18,GB,Midshore,CSMI,6/15/2022,6/15/2022,11:21,11.3,Epi,5,No,Unstratified,13.7,221.76,2.94,366,5.67,0.74,4.06,18.72,5.79,6.7,13.98,2.84,4.86,1.03
22107,June,L June,LEII,Lake Huron,French River 18,GB,Midshore,CSMI,6/15/2022,6/15/2022,11:21,11.3,Mid,7,No,Unstratified,16,227.72,2.96,358,6.27,0.73,4.04,18.6,5.79,6.86,12.09,2.79,4.86,0.89
22108,June,L June,LEII,Lake Huron,French River 18,GB,Midshore,CSMI,6/15/2022,6/15/2022,11:21,11.3,Bottom,9,No,Unstratified,15.4,261.26,3.46,367,6.72,0.75,4.11,19.13,5.79,6.71,13.83,2.59,4.6,0.76
22106A,Aug,Aug,LEII,Lake Huron,French River 18,GB,Midshore,CSMI,8/12/2022,8/12/2022,12:40,11.7,Epi,5,No,Unstratified,19.5,219,2.58,338,5.26,0.82,4.24,21.42,6.33,7.27,12.49,2.45,3.68,0.82
22108A,Aug,Aug,LEII,Lake Huron,French River 18,GB,Midshore,CSMI,8/12/2022,8/12/2022,12:40,11.7,Bottom,9,No,Unstratified,17.8,216,2.57,340,5.52,0.84,4.21,21.51,6.32,7.41,12.66,2.35,3.17,0.81
22110,June,L June,LEII,Lake Huron,French River 46,GB,Midshore,CSMI,6/15/2022,6/15/2022,9:43,43,Epi,5,No,Unstratified,19.4,239.28,3.18,385,5.64,0.79,4.19,19.49,5.93,6.91,14.26,2.55,4.49,0.75
22111,June,L June,LEII,Lake Huron,French River 46,GB,Midshore,CSMI,6/15/2022,6/15/2022,9:43,43,Mid,23,No,Unstratified,17,250.83,3.29,374,5,0.8,4.3,20.74,0.02,6.35,13.28,2.07,4.17,0.7
22112,June,L June,LEII,Lake Huron,French River 46,GB,Midshore,CSMI,6/15/2022,6/15/2022,9:43,43,Bottom,42,No,Unstratified,14.7,258.66,2.92,392,7.01,0.84,4.34,21.45,6.55,6.65,13.75,2.13,4.37,0.33
