STIS,TN,TP,chla
22166,487,3.43,0.57
22167,410,5.81,0.54
22168,414,3.42,0.51
22170,420,6.68,0.46
22171,418,6.05,0.77
22172,400,6.71,0.75
22178,448,5.78,0.44
22179,479,5.52,0.45
22180,429,7.37,0.37
22298,428,7.27,1.93
22299,432,4.24,1.32
22300,406,6.27,0.59
22302,424,14.9,1.21
22304,418,10.5,0.39
22305,417,5.89,1.33
22150,550,9.73,1.35
22154,460,8.33,0.92
22156,413,7.27,0.5
22370,457,3.3,0.54
22371,399,2.85,0.48
22372,455,3.62,0.68
22374,428,1.61,0.61
22376,469,3.64,0.33
22377,429,0.56,1.34
22378,394,2.11,0.45
22379,432,3.45,1.14
22380,449,2.07,0.39
22382,445,2.86,0.83
22383,405,3.92,1.27
22384,432,4.77,1.36
22386,427,3.44,1.12
22388,440,2.01,0.28
22389,421,3.31,1.94
22390,409,1.61,0.87
22391,426,2.28,1.41
22392,443,3.59,0.34
22358,430,3.37,0.68
22359,504,2.72,0.92
22360,508,4.11,0.92
22362,447,3.74,0.7
22363,476,3.19,0.86
22364,465,1.62,0.76
22366,485,3.08,0.55
22367,468,2.22,0.9
22368,460,1.42,0.71
22346,468,6.17,5.2
22348,450,5.57,1.37
22350,498,4.68,2.24
22352,516,3.05,1.55
22354,460,2.3,1.29
22355,473,5.53,1.48
22356,487,4,1.53
22322,528,4.48,0.38
22323,540,3.54,0.42
22324,532,3.59,0.26
22326,413,4.31,0.33
22328,441,3.63,0.84
22329,454,2.31,0.95
22206,403,6.2,0.54
22207,413,5.32,0.48
22208,427,6.14,0.49
22210,457,5.72,1.01
22211,410,6,1.21
22212,443,6.41,0.68
22214,429,7.25,0.99
22216,448,6.29,0.25
22217,459,7.1,1.21
22218,403,7.72,0.84
22310,678,8.32,0.99
22313,617,6.28,3.44
22314,502,3.5,0.86
22315,491,4,1.02
22318,487,4.29,0.77
22319,588,3.96,0.74
22320,517,3.35,0.59
22090,374,7.31,1.58
22091,415,7.94,1.06
22093,383,6.12,1.04
22098,357,7.41,1.13
22099,443,8.04,0.98
22100,382,7.91,0.48
22222,413,6.51,1.37
22223,456,6.4,0.98
22224,381,6.29,0.96
22226,396,6.1,1.38
22227,405,6.05,0.87
22228,407,6.31,0.6
22230,454,6.41,1.59
22231,393,6.25,1.42
22232,397,5.72,0.37
22094,348,9.77,1.81
22095,340,7,1.49
22096,394,8.4,0.93
22306,606,4.55,1.55
22308,598,3.98,1.73
22309,624,6.77,2.2
22106,366,5.67,1.03
22107,358,6.27,0.89
22108,367,6.72,0.76
22110,385,5.64,0.75
22111,374,5,0.7
22112,392,7.01,0.33
22114,390,6.85,0.37
22115,430,4.92,0.99
22116,390,4.83,0.65
