STIS,StationCode,DFS,Month,Area,Year
7388,Ocqu82,Offshore,July,NMB,2017
7389,Ocqu82,Offshore,July,NMB,2017
7600,Thes05,Nearshore,Aug,NC,2017
7601,Thes18,Midshore,Aug,NC,2017
7603,Thes18,Midshore,Aug,NC,2017
7604,Thes18,Midshore,Aug,NC,2017
7605,Thes46,Midshore,Aug,NC,2017
7607,Thes46,Midshore,Aug,NC,2017
7608,Thes46,Midshore,Aug,NC,2017
7609,Span05,Nearshore,Aug,NC,2017
7610,Span18,Midshore,Aug,NC,2017
7611,Span18,Midshore,Aug,NC,2017
7612,Span18,Midshore,Aug,NC,2017
7613,Span18,Midshore,Aug,NC,2017
7614,Span46,Midshore,Aug,NC,2017
7616,Span46,Midshore,Aug,NC,2017
7617,Span46,Midshore,Aug,NC,2017
7618,Fren05,Nearshore,Aug,GB,2017
7619,Fren18,Midshore,Aug,GB,2017
7620,Fren18,Midshore,Aug,GB,2017
7621,Fren18,Midshore,Aug,GB,2017
7623,Fren46,Midshore,Aug,GB,2017
7624,Fren46,Midshore,Aug,GB,2017
7625,Fren46,Midshore,Aug,GB,2017
7626,Fren46,Midshore,Aug,GB,2017
7627,Fren82,Offshore,Aug,GB,2017
7629,Fren82,Offshore,Aug,GB,2017
7630,Fren82,Offshore,Aug,GB,2017
7631,Parr05,Nearshore,Aug,GB,2017
7632,Parr18,Midshore,Aug,GB,2017
7633,Parr18,Midshore,Aug,GB,2017
7634,Parr18,Midshore,Aug,GB,2017
7636,Parr46,Midshore,Aug,GB,2017
7638,Parr46,Midshore,Aug,GB,2017
7639,Parr46,Midshore,Aug,GB,2017
7640,Parr82,Offshore,Aug,GB,2017
7642,Parr82,Offshore,Aug,GB,2017
7643,Parr82,Offshore,Aug,GB,2017
7644,Nott05,Nearshore,Aug,GB,2017
7645,Nott18,Midshore,Aug,GB,2017
7646,Nott18,Midshore,Aug,GB,2017
7647,Nott18,Midshore,Aug,GB,2017
7648,Nott18,Midshore,Aug,GB,2017
7648,Nott18,Midshore,Aug,GB,2017
7649,Nott46,Midshore,Aug,GB,2017
7651,Nott46,Midshore,Aug,GB,2017
7652,Nott46,Midshore,Aug,GB,2017
7653,Nott82,Offshore,Aug,GB,2017
7655,Nott82,Offshore,Aug,GB,2017
7656,Nott82,Offshore,Aug,GB,2017
7658,Saug18,Midshore,Aug,NMB,2017
7659,Saug18,Midshore,Aug,NMB,2017
7660,Saug18,Midshore,Aug,NMB,2017
7662,Saug46,Midshore,Aug,NMB,2017
7664,Saug46,Midshore,Aug,NMB,2017
7665,Saug46,Midshore,Aug,NMB,2017
7666,Saug82,Offshore,Aug,NMB,2017
7668,Saug82,Offshore,Aug,NMB,2017
7669,Saug82,Offshore,Aug,NMB,2017
7670,Mait05,Nearshore,Aug,SMB,2017
7671,Mait18,Midshore,Aug,SMB,2017
7672,Mait18,Midshore,Aug,SMB,2017
7673,Mait18,Midshore,Aug,SMB,2017
7674,Mait05,Nearshore,Aug,SMB,2017
7675,Mait46,Midshore,Aug,SMB,2017
7677,Mait46,Midshore,Aug,SMB,2017
7678,Mait46,Midshore,Aug,SMB,2017
7679,Mait73,Offshore,Aug,SMB,2017
7681,Mait73,Offshore,Aug,SMB,2017
7682,Mait73,Offshore,Aug,SMB,2017
7683,Harb05,Nearshore,Aug,SMB,2017
7684,Harb18,Midshore,Aug,SMB,2017
7685,Harb18,Midshore,Aug,SMB,2017
7686,Harb18,Midshore,Aug,SMB,2017
7687,Harb05,Nearshore,Aug,SMB,2017
7687,Harb05,Nearshore,Aug,SMB,2017
7688,Harb46,Midshore,Aug,SMB,2017
7689,Harb46,Midshore,Aug,SMB,2017
7690,Harb46,Midshore,Aug,SMB,2017
7692,Harb68,Offshore,Aug,SMB,2017
7693,Harb68,Offshore,Aug,SMB,2017
7694,Harb68,Offshore,Aug,SMB,2017
7696,Ocqu05,Nearshore,Aug,NMB,2017
7697,Ocqu18,Midshore,Aug,NMB,2017
7698,Ocqu18,Midshore,Aug,NMB,2017
7699,Ocqu18,Midshore,Aug,NMB,2017
7701,Ocqu46,Midshore,Aug,NMB,2017
7702,Ocqu18,Midshore,Aug,NMB,2017
7703,Ocqu46,Midshore,Aug,NMB,2017
7704,Ocqu46,Midshore,Aug,NMB,2017
7705,Ocqu82,Offshore,Aug,NMB,2017
7706,Ocqu82,Offshore,Aug,NMB,2017
7707,Ocqu82,Offshore,Aug,NMB,2017
7708,Ocqu82,Offshore,Aug,NMB,2017
22090,Spanish River 5,Nearshore,June,NC,2022
22091,Spanish River 5,Nearshore,June,NC,2022
22093,Spanish River 5,Nearshore,June,NC,2022
22094,Spanish River 18,Midshore,June,NC,2022
22095,Spanish River 18,Midshore,June,NC,2022
22096,Spanish River 18,Midshore,June,NC,2022
22098,Spanish River 46,Midshore,June,NC,2022
22099,Spanish River 46,Midshore,June,NC,2022
22100,Spanish River 46,Midshore,June,NC,2022
22106,French River 18,Midshore,June,GB,2022
22107,French River 18,Midshore,June,GB,2022
22108,French River 18,Midshore,June,GB,2022
22110,French River 46,Midshore,June,GB,2022
22111,French River 46,Midshore,June,GB,2022
